County,Year,Voluntary Market - Number of New Policies,Voluntary Market - Number of Renewed Policies,Voluntary Market - Number of Non-Renewed Policies Insured-Initiated,Voluntary Market - Number of Non-Renewed Policies Insurer-Initiated,California FAIR Plan - Number of New Policies,California FAIR Plan - Number of Renewed Policies
,2015,6903,68240,5188,1595,139,163
SHASTA,2020,8807,53620,6334,2437,1049,866
,2019,9354,52776,6474,2445,758,339
,2018,8659,53288,6521,1597,122,204
,2017,7574,53411,5633,1812,110,145
,2016,7063,53920,5192,1599,77,116
,2015,6729,53727,4997,1557,91,70
SIERRA,2020,194,1231,127,64,113,128
,2019,232,1155,99,97,102,36
,2018,138,1192,97,52,19,21
,2017,87,1246,61,46,7,18
,2016,121,1237,77,44,11,13
,2015,95,1285,97,43,4,11
SISKIYOU,2020,2035,14184,1531,623,333,369
,2019,2211,13744,1332,710,255,164
,2018,1940,13977,1311,502,49,118
,2017,1721,14032,1271,507,53,83
,2016,1571,14138,1197,517,46,60
,2015,1528,14203,1112,434,43,47
SOLANO,2020,13727,110059,10882,1859,52,115
,2019,13824,108353,10627,1710,39,109
,2018,13317,107808,10751,1559,31,121
,2017,13226,107444,10511,1720,28,123
,2016,13424,106290,10102,1928,41,129
,2015,13144,104420,9938,1862,34,134
SONOMA,2020,14634,132175,11450,2829,689,517
,2019,15101,129700,11293,2341,433,234
,2018,15090,129784,12428,2354,121,189
,2017,14274,130004,10938,2790,85,152
,2016,13806,129735,10704,2618,85,118
,2015,13766,129291,10637,2652,74,90
STANISLAUS,2020,17033,120973,13352,3116,137,122
,2019,17349,119523,13480,2599,95,58
,2018,17449,118421,13136,2855,35,52
,2017,17742,118550,14102,3158,33,43
,2016,16925,118530,13217,3130,40,38
,2015,16516,117286,12692,3150,25,32
SUTTER,2020,3120,21457,2472,504,7,8
,2019,3365,21058,2560,466,8,6
,2018,3171,21179,2591,558,2,7
,2017,3267,21067,2459,667,6,4
,2016,3046,21142,2301,634,2,5
,2015,2770,21004,2139,481,3,4
TEHAMA,2020,2083,13749,1588,601,197,124
,2019,2458,13316,1677,640,117,41
,2018,2006,13468,1373,428,17,31
,2017,1825,13131,1330,543,18,21
,2016,1720,13309,1201,580,15,14
,2015,1661,13396,1178,505,6,13
TRINITY,2020,452,4027,399,135,423,425
,2019,451,3968,310,234,335,184
,2018,369,4125,267,132,89,90
,2017,367,4187,280,159,67,62
,2016,354,4292,321,135,43,47
,2015,348,4359,297,111,52,26
TULARE,2020,13672,93254,9454,3198,465,639
,2019,15187,90396,10098,3542,324,405
,2018,13326,90548,9534,2766,130,335
,2017,13196,89548,9443,2845,160,259
,2016,12758,89163,8747,3007,107,201
,2015,12007,87640,8230,2924,73,167
TUOLUMNE,2020,4764,17425,2385,2013,3972,4953
,2019,6095,15019,1711,2872,4933,509
,2018,2012,18020,1520,973,348,247
,2017,1438,18944,1379,721,137,168
,2016,1933,19283,1417,645,84,131
,2015,1519,20571,1474,1102,94,76
VENTURA,2020,21673,179421,16290,4290,782,1321
,2019,22469,177541,16671,4511,668,1072
,2018,21079,177885,16298,3369,306,987
,2017,21448,177373,16575,3176,278,964
,2016,20835,177086,16399,3197,304,903
,2015,20421,175864,15643,3632,276,838
YOLO,2020,5542,45053,4125,796,25,36
,2019,5423,44282,4060,701,4,38
,2018,5193,43952,4163,776,11,30
,2017,5464,43718,4205,854,3,32
,2016,5452,43316,4180,846,14,19
,2015,5163,42812,3939,870,4,16
YUBA,2020,3403,17071,2306,629,412,331
,2019,3414,16491,2166,713,313,83
,2018,3027,16427,2090,585,37,47
,2017,2770,16137,2083,594,29,31
,2016,2577,16258,1848,597,20,19
,2015,2500,16118,1821,492,19,13
